Pcgs_no,Country,Coin_date,Denomination,Variety,Prefix,Suffix,Qty_Minted,Reference_no,RowLastUpdated,coin_no,Service,Coin_date_Denomination_Variety
289,,1776,COPPER,MASSACHUSETTS - ,MS,BN,0,289,,,,1776-COPPER-MASSACHUSETTS - 
290,,1776,COPPER,MASSACHUSETTS - ,MS,BN,0,290,,,,1776-COPPER-MASSACHUSETTS - 
291,,1776,1/2P,MASSACHUSETTS - ,MS,BN,0,291,,,,1776-1/2P-MASSACHUSETTS - 
293,,1788,CENT,"MASSACHUSETTS, N",MS,RB,0,293,,,,"1788-CENT-MASSACHUSETTS, N"
296,,1787,1/2C,MASSACHUSETTS,MS,BN,0,296,,296,PCGS,1787-1/2C-MASSACHUSETTS
299,,1787,CENT,"MASS, ARROWS IN ",MS,BN,0,299,,299,PCGS,"1787-CENT-MASS, ARROWS IN "
302,,1787,CENT,"MASS, ARROWS IN ",MS,BN,0,302,,302,PCGS,"1787-CENT-MASS, ARROWS IN "
303,,1787,CENT,"MASS, ARROWS IN ",MS,RB,0,303,,303,PCGS,"1787-CENT-MASS, ARROWS IN "
305,,1787,CENT,"MASSACHUSETTS, H",MS,BN,0,305,,305,PCGS,"1787-CENT-MASSACHUSETTS, H"
308,,1788,1/2C,MASSACHUSETTS,MS,BN,0,308,,308,PCGS,1788-1/2C-MASSACHUSETTS
309,,1788,1/2C,MASSACHUSETTS,MS,RB,0,309,,309,PCGS,1788-1/2C-MASSACHUSETTS
311,,1788,CENT,MASSACHUSETTS,MS,BN,0,311,,311,PCGS,1788-CENT-MASSACHUSETTS
312,,1788,CENT,MASSACHUSETTS,MS,RB,0,312,,312,PCGS,1788-CENT-MASSACHUSETTS
316,,1785,CONNCT,BUST RIGHT,MS,BN,0,316,,316,PCGS,1785-CONNCT-BUST RIGHT
319,,1785,CONNCT,"BUST RIGHT, AFRI",MS,BN,0,319,,319,PCGS,"1785-CONNCT-BUST RIGHT, AFRI"
322,,1785,CONNCT,BUST LEFT,MS,BN,0,322,,322,PCGS,1785-CONNCT-BUST LEFT
325,,1786,CONNCT,SMALL HEAD RIGHT,MS,BN,0,325,,325,PCGS,1786-CONNCT-SMALL HEAD RIGHT
328,,1786,CONNCT,LARGE HEAD RIGHT,MS,BN,0,328,,328,PCGS,1786-CONNCT-LARGE HEAD RIGHT
331,,1786,CONNCT,MAILED BUST LEFT,MS,BN,0,331,,331,PCGS,1786-CONNCT-MAILED BUST LEFT
334,,1786,CONNCT,"MB LEFT, HERCULE",MS,BN,0,334,,334,PCGS,"1786-CONNCT-MB LEFT, HERCULE"
337,,1786,CONNCT,DRAPED BUST LEFT,MS,BN,0,337,,337,PCGS,1786-CONNCT-DRAPED BUST LEFT
340,,1787,CONNCT,"SM HD RT, 'INDE ",MS,BN,0,340,,340,PCGS,"1787-CONNCT-SM HD RT, 'INDE "
343,,1787,CONNCT,"MB RIGHT, MUTTON",MS,BN,0,343,,343,PCGS,"1787-CONNCT-MB RIGHT, MUTTON"
346,,1787,CONNCT,"SM HD RT, 'ET LI",MS,BN,0,346,,346,PCGS,"1787-CONNCT-SM HD RT, 'ET LI"
349,,1787,CONNCT,MAILED BUST LEFT,MS,BN,0,349,,349,PCGS,1787-CONNCT-MAILED BUST LEFT
352,,1787/1788,CONNCT,MAILED BUST LEFT,MS,BN,0,352,,352,PCGS,1787/1788-CONNCT-MAILED BUST LEFT
355,,1787/1877,CONNCT,MAILED BUST LEFT,MS,BN,0,355,,355,PCGS,1787/1877-CONNCT-MAILED BUST LEFT
358,,1787,CONNCT,"MB LEFT, LAUGHIN",MS,BN,0,358,,358,PCGS,"1787-CONNCT-MB LEFT, LAUGHIN"
361,,1787,CONNCT,"MB LEFT, HERCULE",MS,BN,0,361,,361,PCGS,"1787-CONNCT-MB LEFT, HERCULE"
364,,1787,CONNCT,"MB LEFT, HORNED",MS,BN,0,364,,364,PCGS,"1787-CONNCT-MB LEFT, HORNED"
367,,1787,CONNCT,"MB LEFT, 'CONNEC",MS,BN,0,367,,367,PCGS,"1787-CONNCT-MB LEFT, 'CONNEC"
370,,1787,CONNCT,DRAPED BUST LEFT,MS,BN,0,370,,370,PCGS,1787-CONNCT-DRAPED BUST LEFT
373,,1787,CONNCT,"DB LEFT, 'AUCIOR",MS,BN,0,373,,373,PCGS,"1787-CONNCT-DB LEFT, 'AUCIOR"
376,,1787,CONNCT,"DB LEFT, 'AUCTOP",MS,BN,0,376,,376,PCGS,"1787-CONNCT-DB LEFT, 'AUCTOP"
379,,1787,CONNCT,"DB LEFT, 'AUCTOB",MS,BN,0,379,,379,PCGS,"1787-CONNCT-DB LEFT, 'AUCTOB"
382,,1787,CONNCT,"DB LEFT, 'CONNFC",MS,BN,0,382,,382,PCGS,"1787-CONNCT-DB LEFT, 'CONNFC"
385,,1787,CONNCT,"DB LEFT, 'CONNLC",MS,BN,0,385,,385,PCGS,"1787-CONNCT-DB LEFT, 'CONNLC"
388,,1787,CONNCT,"DB LEFT, 'FNDE'",MS,BN,0,388,,388,PCGS,"1787-CONNCT-DB LEFT, 'FNDE'"
391,,1787,CONNCT,"DB LEFT, 'ETLIR'",MS,BN,0,391,,391,PCGS,"1787-CONNCT-DB LEFT, 'ETLIR'"
394,,1787,CONNCT,"DB LEFT, 'ETIIB'",MS,BN,0,394,,394,PCGS,"1787-CONNCT-DB LEFT, 'ETIIB'"
397,,1788,CONNCT,MAILED BUST RIGH,MS,BN,0,397,,397,PCGS,1788-CONNCT-MAILED BUST RIGH
400,,1788,CONNCT,"MB RIGHT, SMALL ",MS,BN,0,400,,400,PCGS,"1788-CONNCT-MB RIGHT, SMALL "
403,,1788,CONNCT,MAILED BUST LEFT,MS,BN,0,403,,403,PCGS,1788-CONNCT-MAILED BUST LEFT
406,,1788,CONNCT,"MB LEFT, 'CONNLC",MS,BN,0,406,,406,PCGS,"1788-CONNCT-MB LEFT, 'CONNLC"
409,,1788,CONNCT,DRAPED BUST LEFT,MS,BN,0,409,,409,PCGS,1788-CONNCT-DRAPED BUST LEFT
410,,1788,CONNCT,DRAPED BUST LEFT,MS,RB,0,410,,410,PCGS,1788-CONNCT-DRAPED BUST LEFT
412,,1788,CONNCT,"DB LEFT, 'CONNLC",MS,BN,0,412,,412,PCGS,"1788-CONNCT-DB LEFT, 'CONNLC"
415,,1788,CONNCT,"DB LEFT, 'INDL'",MS,BN,0,415,,415,PCGS,"1788-CONNCT-DB LEFT, 'INDL'"
418,,1787,CONNCT,LIBERTY SEATED R,MS,BN,0,418,,,,1787-CONNCT-LIBERTY SEATED R
421,,1786,NYORK,"VIRTUTE, LARGE H",MS,BN,0,421,,421,PCGS,"1786-NYORK-VIRTUTE, LARGE H"
422,,1786,NYORK,"VIRTUTE, SMALL H",MS,BN,0,422,,422,PCGS,"1786-NYORK-VIRTUTE, SMALL H"
424,,1787,NYORK,"EXCELSIOR, EAGLE",MS,BN,0,424,,424,PCGS,"1787-NYORK-EXCELSIOR, EAGLE"
427,,1787,NYORK,"EXCELSIOR, EAGLE",MS,BN,0,427,,427,PCGS,"1787-NYORK-EXCELSIOR, EAGLE"
430,,1787,NYORK,"EXCELSIOR, TRANS",MS,BN,0,430,,430,PCGS,"1787-NYORK-EXCELSIOR, TRANS"
433,,1787,NYORK,"EXCELSIOR, G CLI",MS,BN,0,433,,433,PCGS,"1787-NYORK-EXCELSIOR, G CLI"
436,,1787,NYORK,"EXCELSIOR, IND/A",MS,BN,0,436,,436,PCGS,"1787-NYORK-EXCELSIOR, IND/A"
439,,1787,NYORK,"EXCELSIOR, IND/E",MS,BN,0,439,,439,PCGS,"1787-NYORK-EXCELSIOR, IND/E"
442,,1787,NYORK,"IND OBV, GEORGE ",MS,BN,0,442,,442,PCGS,"1787-NYORK-IND OBV, GEORGE "
445,,1747',1/2P,MACHIN'S MILLS,MS,BN,0,445,,445,PCGS,1747'-1/2P-MACHIN'S MILLS
448,,1771',1/2P,MACHIN'S MILLS,MS,BN,0,448,,448,PCGS,1771'-1/2P-MACHIN'S MILLS
451,,1772',1/2P,MACHIN'S MILLS,MS,BN,0,451,,451,PCGS,1772'-1/2P-MACHIN'S MILLS
454,,1774',1/2P,MACHIN'S MILLS,MS,BN,0,454,,454,PCGS,1774'-1/2P-MACHIN'S MILLS
457,,1775',1/2P,MACHIN'S MILLS,MS,BN,0,457,,457,PCGS,1775'-1/2P-MACHIN'S MILLS
