Pcgs_no,Country,Coin_date,Denomination,Variety,Prefix,Suffix,Qty_Minted,Reference_no,RowLastUpdated,coin_no,Service,Coin_date_Denomination_Variety
141028,VENEZUELA,1927,5C,,MS,,0,141028,,,,1927-5C-
141029,VENEZUELA,1971,10C,,MS,,0,141029,,,,1971-10C-
141030,VENEZUELA,1958,5C,,MS,,0,141030,,,,1958-5C-
141031,DENMARK,1873 CS,10KR,,MS,,0,141031,,,,1873 CS-10KR-
141032,DENMARK,1874 CS,10KR,,MS,,0,141032,,,,1874 CS-10KR-
141033,DENMARK,1877 CS,10KR,,MS,,0,141033,,,,1877 CS-10KR-
141034,HUNGARY,1983,100F,BOLIVAR,PR,,0,141034,,,,1983-100F-BOLIVAR
141035,DENMARK,1890 CS,10KR,,MS,,0,141035,,,,1890 CS-10KR-
141036,DENMARK,1898 VBP,10KR,,MS,,0,141036,,,,1898 VBP-10KR-
141037,DENMARK,1900-VBP,10KR,,MS,,0,141037,,,,1900-VBP-10KR-
141038,DENMARK,1898-VBP,10KR,,PR,,0,141038,,,,1898-VBP-10KR-
141039,VENEZUELA,1976,5C,,MS,BN,0,141039,,,,1976-5C-
141040,VENEZUELA,1976,5C,,MS,RB,0,141040,,,,1976-5C-
141041,VENEZUELA,1976,5C,,MS,RD,0,141041,,,,1976-5C-
141042,CUBA,1990,50P,BOLIVAR,PR,DC,0,141042,,,,1990-50P-BOLIVAR
141045,DENMARK,1908 VBP,10KR,,MS,,0,141045,,,,1908 VBP-10KR-
141046,DENMARK,1909 VBP,10KR,,MS,,0,141046,,,,1909 VBP-10KR-
141047,DENMARK,1909,10KR,,MS,,0,141047,,,,1909-10KR-
141048,SAN MARINO,1986-R,5SCUDI,,MS,,0,141048,,,,1986-R-5SCUDI-
141049,MEXICO,1888-OA AE,8R,,MS,,0,141049,,,,1888-OA AE-8R-
141050,AUSTRALIA,1911,SHIL,,MS,,0,141050,,,,1911-SHIL-
141051,DENMARK,1913-VBP,10KR,,MS,,0,141051,,,,1913-VBP-10KR-
141053,,1739,THALER,KM-150,MS,,0,141053,,,,1739-THALER-KM-150
141054,PAPUA NEW GUINEA,1976-FM,100K,MATTE,MS,,0,141054,,,,1976-FM-100K-MATTE
141055,IRELAND,1978,10P,,MS,,0,141055,,,,1978-10P-
141056,DENMARK,1967 C(H)S,10KR,WEDDING,MS,,0,141056,,,,1967 C(H)S-10KR-WEDDING
141058,DENMARK,1968-CS,10KR,WEDDING,MS,,0,141058,,,,1968-CS-10KR-WEDDING
141063,,1793/2,DUCATO,,MS,,0,141063,,,,1793/2-DUCATO-
141064,VATICAN CITY,1942,100L,,MS,,0,141064,,,,1942-100L-
141065,,2006,10YN,PANDA SILVER,MS,,0,141065,,,,2006-10YN-PANDA SILVER
141067,AUSTRALIA,1911-M,SOV,,MS,,0,141067,,,,1911-M-SOV-
141068,POLAND,1922,P100M,KM-PN234,SP,BN,0,141068,,,,1922-P100M-KM-PN234
141069,POLAND,1922,P100M,KM-PN234,SP,RB,0,141069,,,,1922-P100M-KM-PN234
141070,POLAND,1922,P100M,KM-PN234,SP,RD,0,141070,,,,1922-P100M-KM-PN234
141071,POLAND,1683-TLB,6GR,,MS,,0,141071,,,,1683-TLB-6GR-
141072,,(1903,20C,Y-143A.10,MS,,0,141072,,,,(1903-20C-Y-143A.10
141076,,-1911,P5CSH,KM-PN281,MS,BN,0,141076,,,,-1911-P5CSH-KM-PN281
141077,,-1911,P5CSH,KM-PN281,MS,RB,0,141077,,,,-1911-P5CSH-KM-PN281
141078,,-1911,P5CSH,KM-PN281,MS,RD,0,141078,,,,-1911-P5CSH-KM-PN281
141079,IRAN,1971,1000R,,PR,DC,0,141079,,,,1971-1000R-
141081,GREAT BRITAIN,1995,ú2,DOVE-AU,PR,,0,141081,,,,1995-ú2-DOVE-AU
141082,GREAT BRITAIN,1996,ú2,SOCCER GOLD,PR,,0,141082,,,,1996-ú2-SOCCER GOLD
141083,DENMARK,1873-CS,20KR,,MS,,0,141083,,,,1873-CS-20KR-
141084,DENMARK,1874-CS,20KR,,MS,,0,141084,,,,1874-CS-20KR-
141085,DENMARK,1876-CS,20KR,,MS,,0,141085,,,,1876-CS-20KR-
141086,DENMARK,1877-CS,20KR,,MS,,0,141086,,,,1877-CS-20KR-
141087,DENMARK,1890-CS,20KR,,MS,,0,141087,,,,1890-CS-20KR-
141088,DENMARK,1900-VBP,20KR,,MS,,0,141088,,,,1900-VBP-20KR-
141091,GREAT BRITAIN,1999,ú2,RUGBY GOLD,PR,,0,141091,,,,1999-ú2-RUGBY GOLD
141092,DENMARK,1908-VBP,20KR,,MS,,0,141092,,,,1908-VBP-20KR-
141093,DENMARK,1909-VBP,20KR,,MS,,0,141093,,,,1909-VBP-20KR-
141094,DENMARK,1910-VBP,20KR,,MS,,0,141094,,,,1910-VBP-20KR-
141095,DENMARK,1911-VBP,20KR,,MS,,0,141095,,,,1911-VBP-20KR-
141096,DENMARK,1912-VBP,20KR,,MS,,0,141096,,,,1912-VBP-20KR-
141097,DENMARK,1913-VBP,20KR,,MS,,0,141097,,,,1913-VBP-20KR-
141101,DENMARK,1913-VBP,20KR,,MS,,0,141101,,,,1913-VBP-20KR-
141102,DENMARK,1914-VBP,20KR,,MS,,0,141102,,,,1914-VBP-20KR-
141103,DENMARK,1915-VBP,20KR,,MS,,0,141103,,,,1915-VBP-20KR-
141104,DENMARK,1916-VBP,20KR,,MS,,0,141104,,,,1916-VBP-20KR-
141105,DENMARK,1917-VBP,20KR,,MS,,0,141105,,,,1917-VBP-20KR-
141108,DENMARK,1914 VBP,20KR,,PR,,0,141108,,,,1914 VBP-20KR-
141120,DJIBOUTI,1948,FRANC,PFT/ES,PR,,0,141120,,,,1948-FRANC-PFT/ES
141121,DJIBOUTI,1948,2FR,PFT/ES,PR,,0,141121,,,,1948-2FR-PFT/ES
141122,DJIBOUTI,1948,5FR,PFT/ES,PR,,0,141122,,,,1948-5FR-PFT/ES
141123,DJIBOUTI,1952,20FR,PFT/ES,PR,,0,141123,,,,1952-20FR-PFT/ES
141124,DJIBOUTI,1948,FRANC,ESSAI,MS,,0,141124,,,,1948-FRANC-ESSAI
141125,DJIBOUTI,1948,2FR,ESSAI,MS,,0,141125,,,,1948-2FR-ESSAI
141126,DJIBOUTI,1948,5FR,ESSAI,MS,,0,141126,,,,1948-5FR-ESSAI
141133,POLAND,2006-MW,200ZL,WINTER OLYMPICS,PR,DC,0,141133,,,,2006-MW-200ZL-WINTER OLYMPICS
141134,CANADA,1980,1C,,SP,BN,0,141134,,,,1980-1C-
141135,CANADA,1980,1C,,SP,RB,0,141135,,,,1980-1C-
141136,CANADA,1980,1C,,SP,RD,0,141136,,,,1980-1C-
141137,GREAT BRITAIN,2006,ú5,ST. GEORGE,PR,DC,0,141137,,,,2006-ú5-ST. GEORGE
141138,GREAT BRITAIN,2006,ú2,ST. GEORGE,PR,DC,0,141138,,,,2006-ú2-ST. GEORGE
141139,GREAT BRITAIN,2006,SOV,ST. GEORGE,PR,DC,0,141139,,,,2006-SOV-ST. GEORGE
141140,GREAT BRITAIN,2006,1/2SOV,ST. GEORGE,PR,DC,0,141140,,,,2006-1/2SOV-ST. GEORGE
141141,E.GERMANY,1990-A,20MK,KM-139,MS,,0,141141,,,,1990-A-20MK-KM-139
141151,FAEROE ISLANDS,1941,ORE,,MS,BN,0,141151,,,,1941-ORE-
141152,FAEROE ISLANDS,1941,ORE,,MS,RB,0,141152,,,,1941-ORE-
141153,FAEROE ISLANDS,1941,ORE,,MS,RD,0,141153,,,,1941-ORE-
141154,LUXEMBOURG,2004,10EURO,,PR,DC,0,141154,,,,2004-10EURO-
141155,CANADA,1999,$5 ,VIKING,PR,DC,0,141155,,,,1999-5-VIKING
141156,AUSTRALIA,2005,$1 ,BRAVERY,PR,DC,0,141156,,,,2005-1-BRAVERY
141157,AUSTRALIA,2005,$1 ,COURAGE,PR,DC,0,141157,,,,2005-1-COURAGE
141158,NEW ZEALAND,2005,$1 ,CAMARADERIE,PR,DC,0,141158,,,,2005-1-CAMARADERIE
141159,AUSTRIA,1994,2000S,VIENNA PHIL.,MS,,0,141159,,,,1994-2000S-VIENNA PHIL.
141160,IRAN,1971,500R,,PR,,0,141160,,,,1971-500R-
141161,CUBA,1915,PESO,,MS,,0,141161,,,,1915-PESO-
141162,BRAZIL,1645,3FL,KM-5.1,MS,,0,141162,,,,1645-3FL-KM-5.1
141163,BRAZIL,1645,6FL,KM-6.1,MS,,0,141163,,,,1645-6FL-KM-6.1
141164,KOREA,-1886,PWARN,KM-PN18,MS,BN,0,141164,,,,-1886-PWARN-KM-PN18
141165,KOREA,-1886,PWARN,KM-PN18,MS,RB,0,141165,,,,-1886-PWARN-KM-PN18
141166,KOREA,-1886,PWARN,KM-PN18,MS,RD,0,141166,,,,-1886-PWARN-KM-PN18
141167,COLOMBIA,1809-NR JF,8ESC,8-Sep,MS,,0,141167,,,,1809-NR JF-8ESC-45177
141168,BELGIUM,(1419-67),C.D'OR,FLANDERS,MS,,0,141168,,,,(1419-67)-C.D'OR-FLANDERS
141170,GUATEMALA,1789-NG M,ESCUDO,,MS,,0,141170,,,,1789-NG M-ESCUDO-
141171,GREAT BRITAIN,(1643-44),1/2CR,S-2868,MS,,0,141171,,,,(1643-44)-1/2CR-S-2868
141172,GREAT BRITAIN,-1625,UNITE,S-2689,MS,,0,141172,,,,-1625-UNITE-S-2689
141173,GREAT BRITAIN,1602,ú,S-2539,MS,,0,141173,,,,1602-ú-S-2539
141174,GREAT BRITAIN,(1465-66),NOBLE,S-1953,MS,,0,141174,,,,(1465-66)-NOBLE-S-1953
141175,,-1909,20C,Y-22.2,MS,,0,141175,,,,-1909-20C-Y-22.2
141176,,(1898-03),20C,Y-104.1,MS,,0,141176,,,,(1898-03)-20C-Y-104.1
141177,SOUTH AFRICA,1986,2C,,MS,BN,0,141177,,,,1986-2C-
141178,SOUTH AFRICA,1986,2C,,MS,RB,0,141178,,,,1986-2C-
141179,SOUTH AFRICA,1986,2C,,MS,RD,0,141179,,,,1986-2C-
141180,RUSSIA,1898 AG,ROUBLE,,PR,,0,141180,,,,1898 AG-ROUBLE-
141181,RUSSIA,1898 AG,ROUBLE,2 STARS,PR,,0,141181,,,,1898 AG-ROUBLE-2 STARS
141182,GREAT BRITAIN,(1619-25),CROWN,S-2664,MS,,0,141182,,,,(1619-25)-CROWN-S-2664
141184,GREAT BRITAIN,(1642-43),CROWN,S-3045,MS,,0,141184,,,,(1642-43)-CROWN-S-3045
141185,CANADA,2006,$1 ,VICTORIA CROSS,PR,DC,0,141185,,,,2006-1-VICTORIA CROSS
141186,CANADA,2006,$1 ,VICTORIA CROSS P,PR,DC,0,141186,,,,2006-1-VICTORIA CROSS P
141187,AUSTRALIA,1999,$1 ,KOOK-MARK,MS,,0,141187,,,,1999-1-KOOK-MARK
141188,AUSTRALIA,1999,$1 ,KOOK-20 SCHIL,MS,,0,141188,,,,1999-1-KOOK-20 SCHIL
141189,AUSTRALIA,1999,$1 ,KOOK-GUILDER,MS,,0,141189,,,,1999-1-KOOK-GUILDER
141190,DOMINICA,1979,$150 ,,PR,,0,141190,,,,1979-150-
141191,DOMINICA,1978,$20 ,,PR,,0,141191,,,,1978-20-
141192,AUSTRALIA,1999,$1 ,KOOK-MARKKA,MS,,0,141192,,,,1999-1-KOOK-MARKKA
141193,AUSTRALIA,1999,$1 ,KOOK-5 FRANCS,MS,,0,141193,,,,1999-1-KOOK-5 FRANCS
141194,AUSTRALIA,1999,$1 ,KOOK-100 LIRA,MS,,0,141194,,,,1999-1-KOOK-100 LIRA
141195,AUSTRALIA,1999,$1 ,KOOK-100 PESETAS,MS,,0,141195,,,,1999-1-KOOK-100 PESETAS
141196,AUSTRALIA,1999,$1 ,KOOK-50 ESCUDOS,MS,,0,141196,,,,1999-1-KOOK-50 ESCUDOS
141197,AUSTRALIA,1999,$1 ,KOOK-PUNT,MS,,0,141197,,,,1999-1-KOOK-PUNT
141198,AUSTRALIA,2004,$5 ,JAVELIN,MS,,0,141198,,,,2004-5-JAVELIN
141201,DOMINICAN REP.,1877,1C,,MS,,0,141201,,,,1877-1C-
141213,GREAT BRITAIN,1671,2DMDY,,MS,,0,141213,,,,1671-2DMDY-
141222,GREAT BRITAIN,1684,2D,,MS,,0,141222,,,,1684-2D-
141226,GREAT BRITAIN,1689,2D,,MS,,0,141226,,,,1689-2D-
141239,DOMINICAN REP.,1897-A,PESO,,MS,,0,141239,,,,1897-A-PESO-
141242,DOMINICAN REP.,1891-A,5C,,MS,BN,0,141242,,,,1891-A-5C-
141243,DOMINICAN REP.,1891-A,5C,,MS,RB,0,141243,,,,1891-A-5C-
141244,DOMINICAN REP.,1891-A,5C,,MS,RD,0,141244,,,,1891-A-5C-
141246,GREAT BRITAIN,1713,2DMDY,,MS,,0,141246,,,,1713-2DMDY-
141249,DOMINICAN REP.,1891-A,50C,,MS,,0,141249,,,,1891-A-50C-
141253,DOMINICAN REP.,1891-A,FRANCO,,MS,,0,141253,,,,1891-A-FRANCO-
141257,DOMINICAN REP.,1891-A,5FR,,MS,,0,141257,,,,1891-A-5FR-
141262,GREAT BRITAIN,1765,2D,,MS,,0,141262,,,,1765-2D-
141263,DOMINICAN REP.,1937,1C,,PR,BN,0,141263,,,,1937-1C-
141264,DOMINICAN REP.,1937,1C,,PR,RB,0,141264,,,,1937-1C-
141265,DOMINICAN REP.,1937,1C,,PR,RD,0,141265,,,,1937-1C-
141266,GREAT BRITAIN,1772,2DMDY,,MS,,0,141266,,,,1772-2DMDY-
141269,DOMINICAN REP.,1942,1C,,MS,BN,0,141269,,,,1942-1C-
141270,DOMINICAN REP.,1942,1C,,MS,RB,0,141270,,,,1942-1C-
141271,DOMINICAN REP.,1942,1C,,MS,RD,0,141271,,,,1942-1C-
141272,DOMINICAN REP.,1944,1C,,MS,BN,0,141272,,,,1944-1C-
141273,DOMINICAN REP.,1944,1C,,MS,RB,0,141273,,,,1944-1C-
141274,DOMINICAN REP.,1944,1C,,MS,RD,0,141274,,,,1944-1C-
141327,AUSTRALIA,2004,$50 ,OLYMPIC,PR,DC,0,141327,,,,2004-50-OLYMPIC
141328,RUSSIA,1839,11/2R,BORODINO,MS,,0,141328,,,,1839-11/2R-BORODINO
141329,AUSTRIA,2005,2EURO,STATE TREATY,PR,,0,141329,,,,2005-2EURO-STATE TREATY
141330,AUSTRIA,2005,EURO,,PR,,0,141330,,,,2005-EURO-
141331,AUSTRIA,2005,50C,,PR,,0,141331,,,,2005-50C-
141332,AUSTRIA,2005,20C,,PR,,0,141332,,,,2005-20C-
141333,AUSTRIA,2005,10C,,PR,,0,141333,,,,2005-10C-
141334,AUSTRIA,2005,5C,,PR,BN,0,141334,,,,2005-5C-
141335,AUSTRIA,2005,5C,,PR,RB,0,141335,,,,2005-5C-
141336,AUSTRIA,2005,5C,,PR,RD,0,141336,,,,2005-5C-
141337,AUSTRIA,2005,2C,,PR,BN,0,141337,,,,2005-2C-
141338,AUSTRIA,2005,2C,,PR,RB,0,141338,,,,2005-2C-
141339,AUSTRIA,2005,2C,,PR,RD,0,141339,,,,2005-2C-
141340,AUSTRIA,2005,1C,,PR,BN,0,141340,,,,2005-1C-
141341,AUSTRIA,2005,1C,,PR,RB,0,141341,,,,2005-1C-
141342,AUSTRIA,2005,1C,,PR,RD,0,141342,,,,2005-1C-
141343,AUSTRIA,2005,2EURO,STATE TREATY,MS,,0,141343,,,,2005-2EURO-STATE TREATY
141344,FINLAND,2005,2EURO,UNITED NATIONS,MS,,0,141344,,,,2005-2EURO-UNITED NATIONS
141345,W.GERMANY,2005-D,10EURO,WORLD CUP,MS,,0,141345,,,,2005-D-10EURO-WORLD CUP
141346,W.GERMANY,2005-A,10EURO,WORLD CUP,PR,DC,0,141346,,,,2005-A-10EURO-WORLD CUP
141347,GREECE,1981,500DR.,RUNNERS,PR,DC,0,141347,,,,1981-500DR.-RUNNERS
141348,GREECE,1981,250DR,JAVELIN,PR,DC,0,141348,,,,1981-250DR-JAVELIN
141349,GREECE,1981,100DR.,BROAD JUMP,PR,DC,0,141349,,,,1981-100DR.-BROAD JUMP
141350,GREECE,2004,100E,KRYPTE ARCHWAY,PR,DC,0,141350,,,,2004-100E-KRYPTE ARCHWAY
141351,GREECE,2004,100E,ACROPOLIS,PR,DC,0,141351,,,,2004-100E-ACROPOLIS
141352,ITALY,2005,20EURO,PALAZZO MADAMA,PR,DC,0,141352,,,,2005-20EURO-PALAZZO MADAMA
141353,ITALY,2005,10EURO,HOCKEY,PR,DC,0,141353,,,,2005-10EURO-HOCKEY
141354,ITALY,2005,5EURO,XC SKIING,PR,DC,0,141354,,,,2005-5EURO-XC SKIING
141355,,1789-MC,24M.GR,,MS,,0,141355,,,,1789-MC-24M.GR-
141356,CEYLON,1804,48ST,,MS,,0,141356,,,,1804-48ST-
141357,CEYLON,1808,48ST,,MS,,0,141357,,,,1808-48ST-
141358,SAN MARINO,2005-R,2EURO,GALILEO,MS,,0,141358,,,,2005-R-2EURO-GALILEO
141359,SOUTH KOREA,1986,25000W,FOLK DANCING,MS,,0,141359,,,,1986-25000W-FOLK DANCING
141360,SPAIN,1990,2000P,SYMBOLS,MS,,0,141360,,,,1990-2000P-SYMBOLS
141361,SPAIN,1990,2000P,HUMAN PYRAMID,MS,,0,141361,,,,1990-2000P-HUMAN PYRAMID
141362,SPAIN,1991,2000P,TORCH & FLAG,MS,,0,141362,,,,1991-2000P-TORCH & FLAG
141363,SPAIN,1991,2000P,BOWLING,MS,,0,141363,,,,1991-2000P-BOWLING
141364,SPAIN,1990,10000P,GYMNAST,MS,,0,141364,,,,1990-10000P-GYMNAST
141365,SPAIN,1991,10000P,TAE KWON DO,MS,,0,141365,,,,1991-10000P-TAE KWON DO
141366,SPAIN,1992,10000P,BASEBALL,MS,,0,141366,,,,1992-10000P-BASEBALL
141367,SPAIN,1990,20000P,EMPURIES,MS,,0,141367,,,,1990-20000P-EMPURIES
141368,SPAIN,1992,20000P,PALAU SANT JORDI,MS,,0,141368,,,,1992-20000P-PALAU SANT JORDI
141371,SPAIN,2005,12EURO,DON QUIJOTE,MS,,0,141371,,,,2005-12EURO-DON QUIJOTE
141372,SPAIN,2005,2EURO,DON QUIJOTE,MS,,0,141372,,,,2005-2EURO-DON QUIJOTE
141373,URUGUAY,1999,200P,MILLENNIUM,MS,,0,141373,,,,1999-200P-MILLENNIUM
141374,MEXICO,1994-MO,20P,,MS,,0,141374,,,,1994-MO-20P-
141375,MEXICO,1993-MO,20P,,MS,,0,141375,,,,1993-MO-20P-
141376,,1915,PESO,KM 740.2,MS,,0,141376,,,,1915-PESO-KM 740.2
141377,PERU,1873-YJ,SOL,,MS,,0,141377,,,,1873-YJ-SOL-
141378,IONIAN ISLANDS,1819,2LEP,,MS,BN,0,141378,,,,1819-2LEP-
141379,IONIAN ISLANDS,1819,2LEP,,MS,RB,0,141379,,,,1819-2LEP-
141380,IONIAN ISLANDS,1819,2LEP,,MS,RD,0,141380,,,,1819-2LEP-
141381,ITALY,2005-R,10EURO,UNITED NATIONS,MS,,0,141381,,,,2005-R-10EURO-UNITED NATIONS
141382,SWEDEN,1983,100KR,PARLIAMENT,MS,,0,141382,,,,1983-100KR-PARLIAMENT
141383,SWITZERLAND,2002-B,20FR,REGA,PR,DC,0,141383,,,,2002-B-20FR-REGA
141384,SWEDEN,1985,100KR,YOUTH YEAR,MS,,0,141384,,,,1985-100KR-YOUTH YEAR
141385,SWITZERLAND,1998-B,20FR,CONFED.,MS,,0,141385,,,,1998-B-20FR-CONFED.
141386,SLOVAKIA,2005,500SK,EMBERIZA CIA,MS,,0,141386,,,,2005-500SK-EMBERIZA CIA
141387,LATVIA,2005,LATS,CHICKEN,MS,,0,141387,,,,2005-LATS-CHICKEN
141388,FINLAND,1989,100MK,NORDIC SKIING,MS,,0,141388,,,,1989-100MK-NORDIC SKIING
141389,SLOVAKIA,2005,200SK,LEOPOLD,MS,,0,141389,,,,2005-200SK-LEOPOLD
141390,SWITZERLAND,2000-B,5FR,FASNACHT,PR,,0,141390,,,,2000-B-5FR-FASNACHT
141391,FINLAND,2005,10EURO,UNKNOWN SOLDIER,MS,,0,141391,,,,2005-10EURO-UNKNOWN SOLDIER
141392,FINLAND,2005,10EURO,UNKNOWN SOLDIER,PR,,0,141392,,,,2005-10EURO-UNKNOWN SOLDIER
141393,LITHUANIA,1991,5C,,MS,,0,141393,,,,1991-5C-
141394,LITHUANIA,1991,50C,,MS,BN,0,141394,,,,1991-50C-
141395,LITHUANIA,1991,50C,,MS,RB,0,141395,,,,1991-50C-
141396,LITHUANIA,1991,50C,,MS,RD,0,141396,,,,1991-50C-
141397,LITHUANIA,1991,LITAS,,MS,,0,141397,,,,1991-LITAS-
141398,LITHUANIA,1997,20C,,MS,,0,141398,,,,1997-20C-
141399,LITHUANIA,2005,LITAS,PALACE,MS,,0,141399,,,,2005-LITAS-PALACE
141400,DOMINICAN REP.,1937,5C,,PR,,0,141400,,,,1937-5C-
141402,RUSSIA,1800-CM OM,ROUBLE,"C-101A, D-1688",MS,,0,141402,,,,"1800-CM OM-ROUBLE-C-101A, D-1688"
141403,RUSSIA,1815-SP MF,ROUBLE,C-130,MS,,0,141403,,,,1815-SP MF-ROUBLE-C-130
141404,VATICAN CITY,2002-R,5EURO,Y-349,PR,DC,0,141404,,,,2002-R-5EURO-Y-349
141405,VATICAN CITY,2003-R,5EURO,Y-354,PR,DC,0,141405,,,,2003-R-5EURO-Y-354
141406,VATICAN CITY,2004-R,5EURO,Y-359,PR,DC,0,141406,,,,2004-R-5EURO-Y-359
141407,VATICAN CITY,2002-R,10EURO,Y-350,PR,DC,0,141407,,,,2002-R-10EURO-Y-350
141408,VATICAN CITY,2003-R,10EURO,Y-355,PR,DC,0,141408,,,,2003-R-10EURO-Y-355
141409,VATICAN CITY,2004-R,10EURO,Y-360,PR,DC,0,141409,,,,2004-R-10EURO-Y-360
141410,VATICAN CITY,2005-R,5EURO,SEDE VACANTE,PR,DC,0,141410,,,,2005-R-5EURO-SEDE VACANTE
141411,,1835(B),1/2R,,MS,,0,141411,,,,1835(B)-1/2R-
141413,DOMINICAN REP.,1944,5C,,MS,,0,141413,,,,1944-5C-
141414,AUSTRALIA,1946(M),SHIL,,MS,,0,141414,,,,1946(M)-SHIL-
141415,Y-525,-1941,CHIAO,Y-525,MS,,0,141415,,,,-1941-CHIAO-Y-525
141416,,-1923,5C,Y-420A,MS,,0,141416,,,,-1923-5C-Y-420A
141417,ISRAEL,-1949,10PR,PEARL,MS,BN,0,141417,,,,-1949-10PR-PEARL
141418,ISRAEL,-1949,10PR,PEARL,MS,RB,0,141418,,,,-1949-10PR-PEARL
141419,ISRAEL,-1949,10PR,PEARL,MS,RD,0,141419,,,,-1949-10PR-PEARL
141420,THAILAND,-1919,SALUNG,Y-43A,MS,,0,141420,,,,-1919-SALUNG-Y-43A
141421,INDIA-PORTUGESE,1952,1/2RUP,,MS,,0,141421,,,,1952-1/2RUP-
141422,CEYLON,1920-B,50C,,MS,,0,141422,,,,1920-B-50C-
141423,CANADA,1997,25C,,SP,,0,141423,,,,1997-25C-
141426,SPAIN,1785-M DV,ESCUDO,DV/JD,MS,,0,141426,,,,1785-M DV-ESCUDO-DV/JD
141427,SPAIN,1794-M MF,4ESC,,MS,,0,141427,,,,1794-M MF-4ESC-
141428,AUSTRIA,1908,20COR,,MS,,0,141428,,,,1908-20COR-
141429,ITALY,1920-R,50C,,MS,,0,141429,,,,1920-R-50C-
141430,COSTA RICA,1981,300COL,SANTAMARIA,PR,DC,0,141430,,,,1981-300COL-SANTAMARIA
141431,UKRAINE,1996,1MILK,SKOVORODA,PR,DC,0,141431,,,,1996-1MILK-SKOVORODA
141434,GREAT BRITAIN,1839,ú5,UNA/LION PE,PR,CA,0,141434,,,,1839-ú5-UNA/LION PE
141435,GREAT BRITAIN,1839,ú5,UNA/LION PE,PR,DC,0,141435,,,,1839-ú5-UNA/LION PE
141436,UKRAINE,2003,10HR,LIVADIA PALACE,PR,DC,0,141436,,,,2003-10HR-LIVADIA PALACE
141437,UKRAINE,2003,10HR,POCHAYIV LAVRA,PR,DC,0,141437,,,,2003-10HR-POCHAYIV LAVRA
141438,UKRAINE,2003,10HR,ROZUMOVSKY,PR,DC,0,141438,,,,2003-10HR-ROZUMOVSKY
141439,UKRAINE,2004,10HR,PEREYASLAV RADA,PR,DC,0,141439,,,,2004-10HR-PEREYASLAV RADA
141440,UKRAINE,2004,10HR,WORLD CUP,PR,DC,0,141440,,,,2004-10HR-WORLD CUP
141441,UKRAINE,2004,10HR,AZOV DOLPHIN,PR,DC,0,141441,,,,2004-10HR-AZOV DOLPHIN
141442,UKRAINE,2004,10HR,AN-140 AIRCRAFT,PR,DC,0,141442,,,,2004-10HR-AN-140 AIRCRAFT
141443,UKRAINE,2004,10HR,SEVASTOPOL STAND,PR,DC,0,141443,,,,2004-10HR-SEVASTOPOL STAND
141444,UKRAINE,2004,10HR,WHITSUNDAY,PR,DC,0,141444,,,,2004-10HR-WHITSUNDAY
141445,UKRAINE,2004,10HR,YURA CATHEDRAL,PR,DC,0,141445,,,,2004-10HR-YURA CATHEDRAL
141446,UKRAINE,2004,10HR,ICE BREAKER,PR,DC,0,141446,,,,2004-10HR-ICE BREAKER
141447,UKRAINE,2004,10HR,OSTROZHSKY,PR,DC,0,141447,,,,2004-10HR-OSTROZHSKY
141448,UKRAINE,2004,5HR,KYIV UNIVERSITY,PR,DC,0,141448,,,,2004-5HR-KYIV UNIVERSITY
141449,UKRAINE,2004,5HR,KHARKIV UNIV.,PR,DC,0,141449,,,,2004-5HR-KHARKIV UNIV.
141450,UKRAINE,2001,2HR,ICE DANCING,MS,,0,141450,,,,2001-2HR-ICE DANCING
141451,UKRAINE,2001,5HR,MILLENNIUM,MS,,0,141451,,,,2001-5HR-MILLENNIUM
141452,UKRAINE,2001,5HR,NATIONAL BANK,MS,,0,141452,,,,2001-5HR-NATIONAL BANK
141453,UKRAINE,2001,2HR,LYNX,MS,,0,141453,,,,2001-2HR-LYNX
141454,UKRAINE,2001,5HR,OSTROH ACADEMY,MS,,0,141454,,,,2001-5HR-OSTROH ACADEMY
141455,UKRAINE,2001,2HR,CHILDREN,MS,,0,141455,,,,2001-2HR-CHILDREN
141456,UKRAINE,2001,2HR,CONSTITUTION,MS,,0,141456,,,,2001-2HR-CONSTITUTION
141457,UKRAINE,2001,2HR,HOCKEY,MS,,0,141457,,,,2001-2HR-HOCKEY
141458,UKRAINE,2001,5HR,INDEPENDENCE,MS,,0,141458,,,,2001-5HR-INDEPENDENCE
141459,UKRAINE,2001,5HR,POLTAVA,MS,,0,141459,,,,2001-5HR-POLTAVA
141460,UKRAINE,2001,2HR,OSTROHRADSKY,MS,,0,141460,,,,2001-2HR-OSTROHRADSKY
141461,DOMINICAN REP.,1937,10C,,MS,,0,141461,,,,1937-10C-
141462,UKRAINE,2001,2HR,MYKOLAIV ZOO,MS,,0,141462,,,,2001-2HR-MYKOLAIV ZOO
141463,DOMINICAN REP.,1942,10C,,MS,,0,141463,,,,1942-10C-
141464,DOMINICAN REP.,1944,10C,,MS,,0,141464,,,,1944-10C-
141465,UKRAINE,2001,5HR,KROLEVETS,MS,,0,141465,,,,2001-5HR-KROLEVETS
141466,UKRAINE,2001,2HR,DRAHOMANOV,MS,,0,141466,,,,2001-2HR-DRAHOMANOV
141467,UKRAINE,2001,2HR,DAL,MS,,0,141467,,,,2001-2HR-DAL
141468,UKRAINE,2001,2HR,POLISH LARCH,MS,,0,141468,,,,2001-2HR-POLISH LARCH
141469,UKRAINE,2001,5HR,MILITARY FORCES,MS,,0,141469,,,,2001-5HR-MILITARY FORCES
